id,shape,d_size,color,clarity,cut,polish,sym,flour,m1,m2,m3,d_depth,d_table,d_ref,reportNo,detail,disc,rate,location,certNo,milky,eyeClean,browness,isbuy,los,isdisp,cert,types,disc1,oldRef,rap,update_time,sys_status,green,up_file_name,is_sh,certificate,daylight,order_by,is_size_normal,black,is_bgm,bt,bc,wt,wc,temp,order_tj,order_sx,rate_add,count_rate,insert_type,currentPage,pageSize,totalPage,totalRecord,shape_en,location_en,is_own_filter_stock,num_all,isown,app_check_code,sign,sessionkey,status,girdle,video,cgno,remark,disc2,rate1
4350902815,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.92X4.94X3.04,,,61.6,59,SD-691AD,1359098958,79892,-97.98,2940.003,香港,1359098958,无奶,-,无咖,1,http://shreediamonds.com,1,GIA,,0.0,SD-IHGAD,3300.0,"Jun 28, 2020 10:30:46 PM",0,,shreediamonds接口导入,0,,,0,1,N,0,B0,-,-,-,4.94,0,0,0.0,2940.003,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,,,,,
4344091085,圆形,0.45,E,VVS1,EX,EX,EX,NON,4.92X4.89X3.02,,,61.60,60.00,TY16192081,2354271185,78738,-98.0,2940.3,印度,2354271185,无奶,-,无咖,1,www.zuansoft.com,1,GIA,,0.0,TYGIGHLKDG,3300.0,"Jun 27, 2020 2:04:13 PM",0,,78738 0627.xlsx,0,,,0,1,N,0,-,-,-,-,4.92,0,0,0.0,2940.3,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,,,,,
4349940062,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.86,4.91,3.05,62.4,57.0,BG2576,6345838528,71657,-86.72,2940.84,香港,6345838528,无奶,-,无咖,1,www.zuansoft.com,1,GIA,,0.0,BGLZUI,3500.0,"Jun 28, 2020 6:12:42 PM",0,N,71657 0628.xlsx,0,https://www.sunrisediamonds.com.hk/certi/6345838528.pdf,,0,1,N,1,-,-,-,-,4.91,0,0,0.0,2940.84,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,,,,,
4349940063,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.88,4.91,3.06,62.4,58.0,BG2578,1345325549,71657,-86.92,2943.99,香港,1345325549,无奶,-,无咖,1,www.zuansoft.com,1,GIA,,0.0,BGLZUD,3500.0,"Jun 28, 2020 6:12:42 PM",0,N,71657 0628.xlsx,0,https://www.sunrisediamonds.com.hk/certi/1345325549.pdf,,0,1,N,1,-,-,-,-,4.91,0,0,0.0,2943.99,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,,,,,
4349940064,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.86,4.9,3.04,62.4,58.0,BG2579,7343838869,71657,-86.92,2943.99,香港,7343838869,无奶,-,无咖,1,www.zuansoft.com,1,GIA,,0.0,BGLZUH,3500.0,"Jun 28, 2020 6:12:42 PM",0,N,71657 0628.xlsx,0,https://www.sunrisediamonds.com.hk/certi/7343838869.pdf,,0,1,N,1,-,-,-,-,4.9,0,0,0.0,2943.99,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,,,,,,
4350830612,圆形,0.46,D,VVS2,EX,EX,EX,NON,4.94,4.91,3.10,62.9,58,100731604400,2357062459,62919,-100.0,2944.0,香港,2357062459,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUVGIK22KK,3200.0,"Jun 28, 2020 10:19:17 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/2357062459.pdf,,0,1,N,0,BT0,BC0,-,-,4.94,0,0,0.0,2944.0,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,MED to STK,,,,,
4350839499,圆形,0.46,D,VVS2,EX,EX,EX,NON,4.91,4.87,3.10,63.5,56,100735000772,7358062386,62919,-100.0,2944.0,香港,7358062386,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUVZKKKUUL,3200.0,"Jun 28, 2020 10:20:35 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/7358062386.pdf,,0,1,N,0,BT0,BC0,-,-,4.91,0,0,0.0,2944.0,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,MED to STK,,,,,
4350816467,圆形,0.46,D,VVS2,EX,EX,EX,NON,4.92,4.88,3.10,63.1,56,100734965672,6342989436,62919,-100.0,2944.0,香港,6342989436,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUV2HIZIUL,3200.0,"Jun 28, 2020 10:17:35 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/6342989436.pdf,,0,1,N,0,BT0,BC0,-,-,4.92,0,0,0.0,2944.0,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,MED to STK,,,,,
4344178209,圆形,0.46,E,VVS2,EX,EX,EX,NON,5.03X5.05X3.01,,,59.7,59.0,3833830353,5202850047,63050,-100.06,2944.8832,印度,5202850047,无奶,-,无咖,1,www.zuansoft.com,1,GIA,,0.0,VDVVDVKVZV,3200.0,"Jun 27, 2020 2:11:41 PM",0,,63050 0623.xlsx,0,https://media.hdfiles.in:8520/cert.aspx?StoneId=3833830353,https://media.hdfiles.in:8520/HD4/imaged/3833830353/still.jpg,0,1,N,0,BT0,BC0,-,-,5.05,0,0,0.0,2944.8832,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,IMG,,,,
4350593100,圆形,0.46,E,VVS1,EX,EX,EX,NON,4.96 X 4.92 X 3.06,,,61.90,57.00,SDA258584,1349838349,74753,-94.0,2944.92,印度,1349838349,无奶,EC0,无咖,1,sd.diamx.net,1,GIA,,1.0,SDALZDZD2,3300.0,"Jun 28, 2020 9:25:03 PM",0,,diamx接口导入,0,https://www.gia.edu/report-check?reportno=1349838349,,0,1,N,0,-,-,-,-,4.96 ,0,0,0.0,2944.92,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,1,,,,,,
4350593407,圆形,0.46,E,VVS1,EX,EX,EX,NON,4.95 X 4.91 X 3.09,,,62.60,59.00,SDA260070,6335961272,74753,-94.0,2944.92,印度,6335961272,无奶,EC0,无咖,1,sd.diamx.net,1,GIA,,1.0,SDALIKKUK,3300.0,"Jun 28, 2020 9:25:07 PM",0,,diamx接口导入,0,https://www.gia.edu/report-check?reportno=6335961272,,0,1,N,0,-,-,-,-,4.95 ,0,0,0.0,2944.92,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,1,,,,,,
4350857824,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.87,4.83,3.07,63.3,57,100734907729,7343861086,62919,-87.0,2945.25,香港,7343861086,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUV2HKUULH,3500.0,"Jun 28, 2020 10:23:56 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/7343861086.pdf,,0,1,N,0,BT0,BC0,-,-,4.87,0,0,0.0,2945.25,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,MED to STK,,,,,
4350941081,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.90,4.94,3.05,61.90,59.00,LD19102409,7332881469,48394,-87.0,2945.25,印度,7332881469,无奶,EC0,无咖,1,www.laxmidiamond.com,1,GIA,,0.0,LDGHGKL2KH,3500.0,"Jun 28, 2020 10:37:01 PM",0,,www.laxmidiamond.com文档在线导入,0,https://certifiedstone.info/certificate/LD19102409.pdf,https://certifiedstone.info/diamondimages/LD19102409/LD19102409_1.jpg,0,1,N,0,BT0,BC0,WT0,WC0,4.94,0,0,0.0,2945.25,1,0,0,0,0,ROUND,INDIA,True,0,False,0,,,,,https://certifiedstone.info/viewer/vision360.html?d=LD19102409,,,,
4350851774,圆形,0.45,D,VVS1,EX,EX,EX,NON,4.89,4.85,3.09,63.3,56,100730861789,1343890178,62919,-87.0,2945.25,香港,1343890178,无奶,-,无咖,1,diamonds.kirangems.com,1,GIA,,0.0,GKKUVKDIGUDH,3500.0,"Jun 28, 2020 10:23:21 PM",0,,kirangems接口导入,0,https://photo.diamondasset.in:8080/Picture/1343890178.pdf,,0,1,N,0,BT0,BC0,-,-,4.89,0,0,0.0,2945.25,1,0,0,0,0,ROUND,HK,True,0,False,0,,,,MED to STK,,,,,
